2011-04-25 18:21:28 status installed man-db 2.5.7-2
2011-04-25 18:21:29 startup packages configure
2011-04-25 18:21:29 configure libaudiofile0 0.2.6-8ubuntu1 0.2.6-8ubuntu1
2011-04-25 18:21:29 status unpacked libaudiofile0 0.2.6-8ubuntu1
2011-04-25 18:21:29 status half-configured libaudiofile0 0.2.6-8ubuntu1
2011-04-25 18:21:29 status installed libaudiofile0 0.2.6-8ubuntu1
2011-04-25 18:21:29 status triggers-pending libc-bin 2.11.1-0ubuntu7.2
2011-04-25 18:21:29 configure esound-common 0.2.41-6ubuntu1 0.2.41-6ubuntu1
2011-04-25 18:21:29 status unpacked esound-common 0.2.41-6ubuntu1
2011-04-25 18:21:29 status unpacked esound-common 0.2.41-6ubuntu1
2011-04-25 18:21:29 status half-configured esound-common 0.2.41-6ubuntu1
2011-04-25 18:21:29 status installed esound-common 0.2.41-6ubuntu1
2011-04-25 18:21:29 configure libesd0 0.2.41-6ubuntu1 0.2.41-6ubuntu1
2011-04-25 18:21:29 status unpacked libesd0 0.2.41-6ubuntu1
2011-04-25 18:21:29 status half-configured libesd0 0.2.41-6ubuntu1
2011-04-25 18:21:29 status installed libesd0 0.2.41-6ubuntu1
2011-04-25 18:21:29 configure esound-clients 0.2.41-6ubuntu1 0.2.41-6ubuntu1
2011-04-25 18:21:29 status unpacked esound-clients 0.2.41-6ubuntu1
2011-04-25 18:21:29 status half-configured esound-clients 0.2.41-6ubuntu1
2011-04-25 18:21:29 status installed esound-clients 0.2.41-6ubuntu1
2011-04-25 18:21:29 configure fontconfig 2.8.0-2ubuntu1 2.8.0-2ubuntu1
2011-04-25 18:21:29 status unpacked fontconfig 2.8.0-2ubuntu1
2011-04-25 18:21:29 status half-configured fontconfig 2.8.0-2ubuntu1
2011-04-25 18:21:44 status installed fontconfig 2.8.0-2ubuntu1
2011-04-25 18:21:44 configure gconf2-common 2.28.1-0ubuntu1 2.28.1-0ubuntu1
2011-04-25 18:21:44 status unpacked gconf2-common 2.28.1-0ubuntu1
2011-04-25 18:21:44 status unpacked gconf2-common 2.28.1-0ubuntu1
2011-04-25 18:21:44 status unpacked gconf2-common 2.28.1-0ubuntu1
2011-04-25 18:21:44 status half-configured gconf2-common 2.28.1-0ubuntu1
2011-04-25 18:21:45 status installed gconf2-common 2.28.1-0ubuntu1
2011-04-25 18:21:45 configure hicolor-icon-theme 0.11-1 0.11-1
2011-04-25 18:21:45 status unpacked hicolor-icon-theme 0.11-1
2011-04-25 18:21:45 status half-configured hicolor-icon-theme 0.11-1
2011-04-25 18:21:45 status installed hicolor-icon-theme 0.11-1
2011-04-25 18:21:45 configure libatk1.0-0 1.30.0-0ubuntu2.1 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 status unpacked libatk1.0-0 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 status half-configured libatk1.0-0 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 status installed libatk1.0-0 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 configure libatk1.0-data 1.30.0-0ubuntu2.1 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 status unpacked libatk1.0-data 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 status half-configured libatk1.0-data 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 status installed libatk1.0-data 1.30.0-0ubuntu2.1
2011-04-25 18:21:45 configure libpixman-1-0 0.16.4-1ubuntu2 0.16.4-1ubuntu2
2011-04-25 18:21:45 status unpacked libpixman-1-0 0.16.4-1ubuntu2
2011-04-25 18:21:45 status half-configured libpixman-1-0 0.16.4-1ubuntu2
2011-04-25 18:21:45 status installed libpixman-1-0 0.16.4-1ubuntu2
2011-04-25 18:21:45 configure libxcb-render0 1.5-2 1.5-2
2011-04-25 18:21:45 status unpacked libxcb-render0 1.5-2
2011-04-25 18:21:45 status half-configured libxcb-render0 1.5-2
2011-04-25 18:21:45 status installed libxcb-render0 1.5-2
2011-04-25 18:21:45 configure libxcb-render-util0 0.3.6-1build1 0.3.6-1build1
2011-04-25 18:21:45 status unpacked libxcb-render-util0 0.3.6-1build1
2011-04-25 18:21:45 status half-configured libxcb-render-util0 0.3.6-1build1
2011-04-25 18:21:45 status installed libxcb-render-util0 0.3.6-1build1
2011-04-25 18:21:45 configure libxrender1 1:0.9.5-1 1:0.9.5-1
2011-04-25 18:21:45 status unpacked libxrender1 1:0.9.5-1
2011-04-25 18:21:45 status half-configured libxrender1 1:0.9.5-1
2011-04-25 18:21:45 status installed libxrender1 1:0.9.5-1
2011-04-25 18:21:45 configure libcairo2 1.8.10-2ubuntu1 1.8.10-2ubuntu1
2011-04-25 18:21:45 status unpacked libcairo2 1.8.10-2ubuntu1
2011-04-25 18:21:45 status half-configured libcairo2 1.8.10-2ubuntu1
2011-04-25 18:21:45 status installed libcairo2 1.8.10-2ubuntu1
2011-04-25 18:21:45 configure libdatrie1 0.2.2-3 0.2.2-3
2011-04-25 18:21:45 status unpacked libdatrie1 0.2.2-3
2011-04-25 18:21:45 status half-configured libdatrie1 0.2.2-3
2011-04-25 18:21:45 status installed libdatrie1 0.2.2-3
2011-04-25 18:21:45 configure libidl0 0.8.13-1 0.8.13-1
2011-04-25 18:21:45 status unpacked libidl0 0.8.13-1
2011-04-25 18:21:45 status half-configured libidl0 0.8.13-1
2011-04-25 18:21:45 status installed libidl0 0.8.13-1
2011-04-25 18:21:45 configure liborbit2 1:2.14.18-0.1 1:2.14.18-0.1
2011-04-25 18:21:45 status unpacked liborbit2 1:2.14.18-0.1
2011-04-25 18:21:46 status half-configured liborbit2 1:2.14.18-0.1
2011-04-25 18:21:46 status installed liborbit2 1:2.14.18-0.1
2011-04-25 18:21:46 configure libgconf2-4 2.28.1-0ubuntu1 2.28.1-0ubuntu1
2011-04-25 18:21:46 status unpacked libgconf2-4 2.28.1-0ubuntu1
2011-04-25 18:21:46 status half-configured libgconf2-4 2.28.1-0ubuntu1
2011-04-25 18:21:46 status installed libgconf2-4 2.28.1-0ubuntu1
2011-04-25 18:21:46 configure libxfixes3 1:4.0.4-1 1:4.0.4-1
2011-04-25 18:21:46 status unpacked libxfixes3 1:4.0.4-1
2011-04-25 18:21:46 status half-configured libxfixes3 1:4.0.4-1
2011-04-25 18:21:46 status installed libxfixes3 1:4.0.4-1
2011-04-25 18:21:46 configure libxdamage1 1:1.1.2-1 1:1.1.2-1
2011-04-25 18:21:46 status unpacked libxdamage1 1:1.1.2-1
2011-04-25 18:21:46 status half-configured libxdamage1 1:1.1.2-1
2011-04-25 18:21:46 status installed libxdamage1 1:1.1.2-1
2011-04-25 18:21:46 configure libxxf86vm1 1:1.1.0-2 1:1.1.0-2
2011-04-25 18:21:46 status unpacked libxxf86vm1 1:1.1.0-2
2011-04-25 18:21:46 status half-configured libxxf86vm1 1:1.1.0-2
2011-04-25 18:21:46 status installed libxxf86vm1 1:1.1.0-2
2011-04-25 18:21:46 configure libgl1-mesa-glx 7.7.1-1ubuntu3 7.7.1-1ubuntu3
2011-04-25 18:21:46 status unpacked libgl1-mesa-glx 7.7.1-1ubuntu3
2011-04-25 18:21:46 status half-configured libgl1-mesa-glx 7.7.1-1ubuntu3
2011-04-25 18:21:46 update-alternatives: run with --force --install /etc/ld.so.conf.d/GL.conf gl_conf /usr/lib/mesa/ld.so.conf 500 --slave /usr/lib/xorg/extra-modules xorg_extra_modules /usr/lib/xorg/x11-extra-modules
2011-04-25 18:21:46 update-alternatives: link group gl_conf updated to point to /usr/lib/mesa/ld.so.conf
2011-04-25 18:21:46 status installed libgl1-mesa-glx 7.7.1-1ubuntu3
2011-04-25 18:21:46 configure libgstreamer0.10-0 0.10.28-1 0.10.28-1
2011-04-25 18:21:46 status unpacked libgstreamer0.10-0 0.10.28-1
2011-04-25 18:21:46 status half-configured libgstreamer0.10-0 0.10.28-1
2011-04-25 18:21:46 status installed libgstreamer0.10-0 0.10.28-1
2011-04-25 18:21:46 configure libgstreamer-plugins-base0.10-0 0.10.28-1 0.10.28-1
2011-04-25 18:21:46 status unpacked libgstreamer-plugins-base0.10-0 0.10.28-1
2011-04-25 18:21:46 status half-configured libgstreamer-plugins-base0.10-0 0.10.28-1
2011-04-25 18:21:46 status installed libgstreamer-plugins-base0.10-0 0.10.28-1
2011-04-25 18:21:46 configure libgtk2.0-common 2.20.1-0ubuntu2 2.20.1-0ubuntu2
2011-04-25 18:21:46 status unpacked libgtk2.0-common 2.20.1-0ubuntu2
2011-04-25 18:21:46 status half-configured libgtk2.0-common 2.20.1-0ubuntu2
2011-04-25 18:21:46 status installed libgtk2.0-common 2.20.1-0ubuntu2
2011-04-25 18:21:46 configure libjasper1 1.900.1-7 1.900.1-7
2011-04-25 18:21:46 status unpacked libjasper1 1.900.1-7
2011-04-25 18:21:46 status half-configured libjasper1 1.900.1-7
2011-04-25 18:21:46 status installed libjasper1 1.900.1-7
2011-04-25 18:21:46 configure libpango1.0-common 1.28.0-0ubuntu2.2 1.28.0-0ubuntu2.2
2011-04-25 18:21:46 status unpacked libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:46 status unpacked libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:46 status half-configured libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:47 status installed libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:47 configure libthai-data 0.1.13-1build1 0.1.13-1build1
2011-04-25 18:21:47 status unpacked libthai-data 0.1.13-1build1
